Timestamp,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
2025-04-25T16:45:11.876Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:12.685Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:13.899Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:14.784Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:15.621Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:16.755Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:17.841Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:18.828Z,0.00,0.00,0.00,0.00,50.00,0.00,50.00
2025-04-25T16:45:19.695Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:20.744Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:21.817Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:22.755Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:23.828Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:24.756Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:25.796Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:26.826Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:27.712Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:28.764Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:29.816Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:30.938Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:31.917Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:32.936Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:33.776Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:34.751Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:35.752Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:36.696Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:37.754Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:38.903Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:40.007Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:40.872Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:41.794Z,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2025-04-25T16:45:42.758Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:43.869Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:44.805Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:45.749Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:46.874Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:45:47.749Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:48.796Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:49.629Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:51.077Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:52.305Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:53.040Z,0.00,0.00,0.00,0.00,50.00,0.00,50.00
2025-04-25T16:45:54.100Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:54.914Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:55.964Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:57.076Z,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2025-04-25T16:45:58.250Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:59.060Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
